Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:08:16,1892.09,1903.515,1885.085,1889.25,-2.84,-15,144196
2023:08:15,1901.82,1907.275,1891.875,1892.09,-9.73,-51,142099
2023:08:14,1907.505,1911.71,1896.455,1901.82,-5.685,-30,163154
2023:08:11,1913.815,1916.26,1902.73,1907.505,-6.31,-33,130484
2023:08:10,1912.42,1920.97,1910.9,1913.815,1.395,7,132068
2023:08:09,1914.95,1930.18,1912.245,1912.42,-2.53,-13,155508
2023:08:08,1925.16,1932.395,1914.125,1914.95,-10.21,-53,123977
2023:08:07,1936.585,1938.155,1922.795,1925.16,-11.425,-59,139132
2023:08:04,1942.655,1946.815,1931.525,1936.585,-6.07,-31,112919
2023:08:03,1934.225,1946.99,1924.78,1942.655,8.43,44,156902
2023:08:02,1934.71,1938.94,1929.61,1934.225,-0.485,-3,140159
2023:08:01,1944.2,1954.88,1933.036,1934.71,-9.49,-49,162768
2023:07:31,1965.615,1966.015,1941.29,1944.2,-21.415,-109,136205
2023:07:28,1959.34,1972.455,1950.206,1965.615,6.275,32,139132
2023:07:27,1945.15,1963.575,1945.15,1959.34,14.19,73,176345
2023:07:26,1972.24,1982.265,1942.645,1945.15,-27.09,-137,189868
2023:07:25,1964.745,1978.405,1962.065,1972.24,7.495,38,170682
2023:07:24,1954.715,1965.72,1952.005,1964.745,10.03,51,121634
